Participant,Construction,Accent,Speaker,Item,Correct
S166,PO,Accent,Idan,6,FALSE
S166,PO,Accent,Idan,11,FALSE
S166,PO,Accent,Idan,15,FALSE
S166,PO,Accent,Idan,4,FALSE
S166,DO,Accent,Idan,7,FALSE
S166,DO,Accent,Idan,5,FALSE
S166,PO,Accent,Idan,8,FALSE
S166,DO,Accent,Idan,2,FALSE
S166,DO,Accent,Idan,18,FALSE
S167,PO,Accent,Idan,5,TRUE
S167,DO,Accent,Idan,6,FALSE
S167,DO,Accent,Idan,17,FALSE
S167,DO,Accent,Idan,19,FALSE
S167,DO,Accent,Idan,1,FALSE
S167,PO,Accent,Idan,16,FALSE
S167,PO,Accent,Idan,2,TRUE
S167,DO,Accent,Idan,13,FALSE
S167,DO,Accent,Idan,15,FALSE
S167,PO,Accent,Idan,12,FALSE
S167,PO,Accent,Idan,9,FALSE
S167,PO,Accent,Idan,7,FALSE
S167,PO,Accent,Idan,3,TRUE
S167,PO,Accent,Idan,14,TRUE
S167,PO,Accent,Idan,18,FALSE
S167,DO,Accent,Idan,11,FALSE
S167,DO,Accent,Idan,4,FALSE
S171,PO,None,Nezar,16,TRUE
S171,PO,None,Nezar,5,TRUE
S171,DO,None,Nezar,17,TRUE
S171,PO,None,Nezar,2,TRUE
S171,DO,None,Nezar,1,TRUE
S171,DO,None,Nezar,8,TRUE
S171,DO,None,Nezar,15,TRUE
S171,DO,None,Nezar,20,TRUE
S171,PO,None,Nezar,9,TRUE
S171,PO,None,Nezar,12,TRUE
S171,DO,None,Nezar,19,TRUE
S171,PO,None,Nezar,3,TRUE
S171,DO,None,Nezar,13,TRUE
S171,DO,None,Nezar,6,TRUE
S171,PO,None,Nezar,7,TRUE
S171,DO,None,Nezar,4,TRUE
S171,PO,None,Nezar,10,FALSE
S171,DO,None,Nezar,11,TRUE
S171,PO,None,Nezar,18,TRUE
S176,PO,None,Idan,18,FALSE
S176,PO,None,Idan,9,FALSE
S176,PO,None,Idan,16,FALSE
S176,DO,None,Idan,19,FALSE
S176,DO,None,Idan,4,FALSE
S176,DO,None,Idan,1,FALSE
S176,DO,None,Idan,6,FALSE
S176,DO,None,Idan,11,FALSE
S176,DO,None,Idan,15,FALSE
S176,DO,None,Idan,13,FALSE
S176,PO,None,Idan,3,TRUE
S176,PO,None,Idan,10,FALSE
